Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2",0603,4,1u,
"C10, C13, C3, C4, C5, C6, C7, C8, C9",0402,9,100n,
"C14, C15",0402,2,15p,C86285
D4,0402,1,LED,C130719
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,SHOU HAN TYPE-C 16PIN 2MD(073),C2765186
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J3, J4",PinSocket_1x13_P2.54mm_Vertical,2,Conn_01x13,
"R1, R2",0402,2,5.1k,
"R3, R4",0402,2,27.4,C2759791
R7,0402,1,1k,
R8,0402,1,68R,C2909380
"TP4, TP5",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23-5,1,TLV75733PDBV,C485517
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
