Designator,Mid X,Mid Y,Rotation,Layer
C1,136.0,-92.8,180.0,top
C10,134.4,-112.48,270.0,top
C11,134.8,-101.0,90.0,top
C12,136.75,-101.0,90.0,top
C13,136.8,-104.35,0.0,top
C14,130.6,-112.2,270.0,top
C15,130.6,-114.23,90.0,top
C2,136.05,-98.65,180.0,top
C3,136.9,-108.0,0.0,top
C4,126.25,-92.65,180.0,top
C5,136.8,-103.1,0.0,top
C6,126.42,-104.15,180.0,top
C7,126.5,-108.0,180.0,top
C8,132.1,-112.2,270.0,top
C9,133.3,-112.48,270.0,top
D4,125.5,-88.25,270.0,top
J1,131.4,-87.065,180.0,top
J2,131.48,-116.23,90.0,top
J3,123.86,-100.99,0.0,top
J4,139.1,-100.99,0.0,top
R1,137.4,-90.8,90.0,top
R2,137.4,-88.31,270.0,top
R3,132.4,-100.6,270.0,top
R4,133.5,-100.6,270.0,top
R7,131.7,-114.21,270.0,top
R8,125.5,-90.35,90.0,top
U1,131.6625,-106.9625,90.0,top
U3,128.45,-97.9375,0.0,top
U4,135.95,-95.7625,90.0,top
Y1,127.9,-113.4,180.0,top
